start_date,very_percentage,somewhat_percentage,not_very_percentage,not_at_all_percentage
2020-09-18,23.157894736842106,37.89473684210527,21.052631578947366,17.894736842105264
2020-09-17,30,33,23,14.000000000000002
2020-09-17,42,32,18,8
2020-09-20,24,36,26,14.000000000000002
2020-09-21,22.22222222222222,42.42424242424242,22.22222222222222,13.131313131313133
2020-09-21,30.526315789473685,34.73684210526316,18.947368421052634,15.789473684210526
2020-09-19,49,26,24,1
2020-09-25,27.083333333333332,34.375,21.875,16.666666666666664
2020-09-27,19.801980198019802,40.5940594059406,24.752475247524753,14.85148514851485
2020-10-01,20,35,28.000000000000004,17
2020-10-01,20,36,26,18
2020-10-02,37,44,13,6
2020-10-02,22,39,26,13
